system:time_start,NPP
"Sep 14, 1997",509.866
"Sep 22, 1997",507.921
"Sep 30, 1997",463.812
"Oct 8, 1997",396.041
"Oct 16, 1997",341.393
"Oct 24, 1997",305.962
"Nov 1, 1997",276.057
"Nov 9, 1997",256.564
"Nov 17, 1997",244.023
"Nov 25, 1997",242.962
"Dec 3, 1997",240.011
"Dec 11, 1997",234.558
"Dec 19, 1997",234.996
"Dec 27, 1997",207.993
"Jan 1, 1998",205.434
"Jan 9, 1998",208.479
"Jan 17, 1998",224.694
"Jan 25, 1998",212.68
"Feb 2, 1998",235.52
"Feb 10, 1998",230.003
"Feb 18, 1998",231.782
"Feb 26, 1998",206.176
"Mar 6, 1998",205.568
"Mar 14, 1998",191.283
"Mar 22, 1998",193.087
"Mar 30, 1998",192.021
"Apr 7, 1998",194.271
"Apr 15, 1998",198.692
"Apr 23, 1998",195.869
"May 1, 1998",212.265
"May 9, 1998",250.376
"May 17, 1998",346.167
"May 25, 1998",361.485
"Jun 2, 1998",312.983
"Jun 10, 1998",379.337
"Jun 18, 1998",408.479
"Jun 26, 1998",578.864
"Jul 4, 1998",659.576
"Jul 12, 1998",692.619
"Jul 20, 1998",718.516
"Jul 28, 1998",666.678
"Aug 5, 1998",750.058
"Aug 13, 1998",758.331
"Aug 21, 1998",729.916
"Aug 29, 1998",684.782
"Sep 6, 1998",680.512
"Sep 14, 1998",661.461
"Sep 22, 1998",623.345
"Sep 30, 1998",630.037
"Oct 8, 1998",617.189
"Oct 16, 1998",569.147
"Oct 24, 1998",418.041
"Nov 1, 1998",357.674
"Nov 9, 1998",397.287
"Nov 17, 1998",364.974
"Nov 25, 1998",394.197
"Dec 3, 1998",452.584
"Dec 11, 1998",380.038
"Dec 19, 1998",333.95
"Dec 27, 1998",383.745
"Jan 1, 1999",415.474
"Jan 9, 1999",537.499
"Jan 17, 1999",458.799
"Jan 25, 1999",516.244
"Feb 2, 1999",527.995
"Feb 10, 1999",459.265
"Feb 18, 1999",470.875
"Feb 26, 1999",399.068
"Mar 6, 1999",322.192
"Mar 14, 1999",306.812
"Mar 22, 1999",355.151
"Mar 30, 1999",275.777
"Apr 7, 1999",269.231
"Apr 15, 1999",251.562
"Apr 23, 1999",257.462
"May 1, 1999",265.894
"May 9, 1999",315.175
"May 17, 1999",378.17
"May 25, 1999",440.53
"Jun 2, 1999",423.052
"Jun 10, 1999",445.591
"Jun 18, 1999",487.842
"Jun 26, 1999",502.615
"Jul 4, 1999",577.395
"Jul 12, 1999",546.761
"Jul 20, 1999",639.139
"Jul 28, 1999",621.344
"Aug 5, 1999",570.02
"Aug 13, 1999",661.322
"Aug 21, 1999",768.836
"Aug 29, 1999",737.109
"Sep 6, 1999",674.169
"Sep 14, 1999",652.003
